city,Zipcode,new_stations
Des Moines,50309,1
Des Moines,50310,2
Des Moines,50311,1
Des Moines,50312,1
Des Moines,50313,1
Des Moines,50314,1
Des Moines,50315,2
Des Moines,50317,1
Des Moines,50319,0
Des Moines,50320,1
Chicago,60018,9
Chicago,60076,6
Chicago,60106,6
Chicago,60131,6
Chicago,60176,6
Chicago,60406,6
Chicago,60459,6
Chicago,60601,7
Chicago,60602,7
Chicago,60603,8
Chicago,60604,6
Chicago,60605,5
Chicago,60606,6
Chicago,60607,0
Chicago,60608,7
Chicago,60609,6
Chicago,60610,5
Chicago,60611,7
Chicago,60612,7
Chicago,60613,6
Chicago,60614,5
Chicago,60615,8
Chicago,60616,6
Chicago,60617,7
Chicago,60618,2
Chicago,60619,9
Chicago,60620,13
Chicago,60621,7
Chicago,60622,6
Chicago,60623,8
Chicago,60624,6
Chicago,60625,5
Chicago,60626,7
Chicago,60628,10
Chicago,60629,9
Chicago,60630,10
Chicago,60631,9
Chicago,60632,8
Chicago,60633,5
Chicago,60634,10
Chicago,60636,9
Chicago,60637,7
Chicago,60638,10
Chicago,60639,8
Chicago,60640,9
Chicago,60641,10
Chicago,60642,6
Chicago,60643,7
Chicago,60644,8
Chicago,60645,8
Chicago,60646,9
Chicago,60647,4
Chicago,60649,7
Chicago,60651,8
Chicago,60652,10
Chicago,60653,8
Chicago,60654,7
Chicago,60655,7
Chicago,60656,9
Chicago,60657,6
Chicago,60659,8
Chicago,60660,10
Chicago,60661,7
Chicago,60706,6
Chicago,60707,7
Chicago,60804,7
Chicago,60805,8
Chicago,60827,5
Denver,80011,0
Denver,80012,1
Denver,80014,1
Denver,80111,0
Denver,80123,1
Denver,80202,1
Denver,80203,1
Denver,80204,1
Denver,80205,1
Denver,80206,1
Denver,80207,1
Denver,80209,1
Denver,80210,1
Denver,80211,1
Denver,80212,1
Denver,80214,1
Denver,80216,1
Denver,80218,1
Denver,80219,1
Denver,80220,1
Denver,80221,1
Denver,80222,1
Denver,80223,1
Denver,80224,1
Denver,80226,0
Denver,80227,1
Denver,80230,1
Denver,80231,1
Denver,80232,0
Denver,80236,1
Denver,80237,1
Denver,80238,1
Denver,80239,1
Denver,80246,1
Denver,80247,1
Denver,80249,1
Denver,80293,0
