city,Zipcode,new_stations
Des Moines,50309,3
Des Moines,50310,5
Des Moines,50311,4
Des Moines,50312,4
Des Moines,50313,4
Des Moines,50314,4
Des Moines,50315,4
Des Moines,50317,4
Des Moines,50319,0
Des Moines,50320,4
Chicago,60018,25
Chicago,60076,18
Chicago,60106,17
Chicago,60131,17
Chicago,60176,17
Chicago,60406,17
Chicago,60459,18
Chicago,60601,21
Chicago,60602,21
Chicago,60603,23
Chicago,60604,18
Chicago,60605,15
Chicago,60606,17
Chicago,60607,0
Chicago,60608,19
Chicago,60609,18
Chicago,60610,14
Chicago,60611,19
Chicago,60612,20
Chicago,60613,16
Chicago,60614,14
Chicago,60615,22
Chicago,60616,18
Chicago,60617,20
Chicago,60618,6
Chicago,60619,25
Chicago,60620,36
Chicago,60621,21
Chicago,60622,16
Chicago,60623,24
Chicago,60624,18
Chicago,60625,14
Chicago,60626,21
Chicago,60628,28
Chicago,60629,25
Chicago,60630,29
Chicago,60631,26
Chicago,60632,24
Chicago,60633,15
Chicago,60634,28
Chicago,60636,27
Chicago,60637,21
Chicago,60638,30
Chicago,60639,23
Chicago,60640,26
Chicago,60641,27
Chicago,60642,18
Chicago,60643,21
Chicago,60644,21
Chicago,60645,23
Chicago,60646,25
Chicago,60647,10
Chicago,60649,20
Chicago,60651,23
Chicago,60652,30
Chicago,60653,23
Chicago,60654,19
Chicago,60655,21
Chicago,60656,25
Chicago,60657,18
Chicago,60659,23
Chicago,60660,28
Chicago,60661,21
Chicago,60706,18
Chicago,60707,21
Chicago,60804,19
Chicago,60805,22
Chicago,60827,15
Denver,80011,1
Denver,80012,2
Denver,80014,2
Denver,80111,1
Denver,80123,2
Denver,80202,2
Denver,80203,2
Denver,80204,2
Denver,80205,2
Denver,80206,2
Denver,80207,2
Denver,80209,2
Denver,80210,2
Denver,80211,2
Denver,80212,2
Denver,80214,2
Denver,80216,2
Denver,80218,2
Denver,80219,2
Denver,80220,2
Denver,80221,2
Denver,80222,2
Denver,80223,2
Denver,80224,2
Denver,80226,1
Denver,80227,2
Denver,80230,2
Denver,80231,2
Denver,80232,1
Denver,80236,1
Denver,80237,2
Denver,80238,2
Denver,80239,2
Denver,80246,2
Denver,80247,2
Denver,80249,2
Denver,80293,0
