city,Zipcode,new_stations
Des Moines,50309,2
Des Moines,50310,4
Des Moines,50311,3
Des Moines,50312,3
Des Moines,50313,3
Des Moines,50314,3
Des Moines,50315,3
Des Moines,50317,3
Des Moines,50319,0
Des Moines,50320,3
Chicago,60018,19
Chicago,60076,14
Chicago,60106,13
Chicago,60131,13
Chicago,60176,13
Chicago,60406,13
Chicago,60459,14
Chicago,60601,16
Chicago,60602,16
Chicago,60603,17
Chicago,60604,14
Chicago,60605,12
Chicago,60606,13
Chicago,60607,0
Chicago,60608,15
Chicago,60609,14
Chicago,60610,11
Chicago,60611,14
Chicago,60612,15
Chicago,60613,12
Chicago,60614,11
Chicago,60615,17
Chicago,60616,14
Chicago,60617,15
Chicago,60618,5
Chicago,60619,19
Chicago,60620,28
Chicago,60621,16
Chicago,60622,12
Chicago,60623,19
Chicago,60624,13
Chicago,60625,10
Chicago,60626,16
Chicago,60628,21
Chicago,60629,19
Chicago,60630,23
Chicago,60631,20
Chicago,60632,18
Chicago,60633,12
Chicago,60634,21
Chicago,60636,21
Chicago,60637,16
Chicago,60638,23
Chicago,60639,18
Chicago,60640,20
Chicago,60641,21
Chicago,60642,14
Chicago,60643,16
Chicago,60644,17
Chicago,60645,18
Chicago,60646,19
Chicago,60647,8
Chicago,60649,15
Chicago,60651,18
Chicago,60652,23
Chicago,60653,18
Chicago,60654,15
Chicago,60655,16
Chicago,60656,19
Chicago,60657,14
Chicago,60659,18
Chicago,60660,21
Chicago,60661,16
Chicago,60706,14
Chicago,60707,16
Chicago,60804,15
Chicago,60805,17
Chicago,60827,12
Denver,80011,1
Denver,80012,1
Denver,80014,1
Denver,80111,1
Denver,80123,1
Denver,80202,2
Denver,80203,1
Denver,80204,2
Denver,80205,2
Denver,80206,1
Denver,80207,2
Denver,80209,2
Denver,80210,2
Denver,80211,2
Denver,80212,2
Denver,80214,1
Denver,80216,1
Denver,80218,1
Denver,80219,2
Denver,80220,2
Denver,80221,1
Denver,80222,2
Denver,80223,2
Denver,80224,1
Denver,80226,1
Denver,80227,1
Denver,80230,1
Denver,80231,1
Denver,80232,1
Denver,80236,1
Denver,80237,2
Denver,80238,1
Denver,80239,1
Denver,80246,2
Denver,80247,1
Denver,80249,2
Denver,80293,0
