city,Zipcode,new_stations
Des Moines,50309,1
Des Moines,50310,2
Des Moines,50311,2
Des Moines,50312,2
Des Moines,50313,2
Des Moines,50314,2
Des Moines,50315,2
Des Moines,50317,2
Des Moines,50319,0
Des Moines,50320,2
Chicago,60018,11
Chicago,60076,8
Chicago,60106,8
Chicago,60131,8
Chicago,60176,8
Chicago,60406,8
Chicago,60459,8
Chicago,60601,9
Chicago,60602,9
Chicago,60603,10
Chicago,60604,8
Chicago,60605,7
Chicago,60606,8
Chicago,60607,0
Chicago,60608,9
Chicago,60609,8
Chicago,60610,6
Chicago,60611,9
Chicago,60612,9
Chicago,60613,7
Chicago,60614,7
Chicago,60615,10
Chicago,60616,8
Chicago,60617,9
Chicago,60618,3
Chicago,60619,11
Chicago,60620,17
Chicago,60621,10
Chicago,60622,7
Chicago,60623,11
Chicago,60624,8
Chicago,60625,6
Chicago,60626,9
Chicago,60628,13
Chicago,60629,11
Chicago,60630,13
Chicago,60631,12
Chicago,60632,11
Chicago,60633,7
Chicago,60634,13
Chicago,60636,12
Chicago,60637,10
Chicago,60638,14
Chicago,60639,10
Chicago,60640,12
Chicago,60641,13
Chicago,60642,8
Chicago,60643,9
Chicago,60644,10
Chicago,60645,11
Chicago,60646,11
Chicago,60647,5
Chicago,60649,9
Chicago,60651,10
Chicago,60652,14
Chicago,60653,11
Chicago,60654,9
Chicago,60655,10
Chicago,60656,11
Chicago,60657,8
Chicago,60659,11
Chicago,60660,13
Chicago,60661,10
Chicago,60706,8
Chicago,60707,10
Chicago,60804,9
Chicago,60805,10
Chicago,60827,7
Denver,80011,1
Denver,80012,1
Denver,80014,1
Denver,80111,1
Denver,80123,1
Denver,80202,1
Denver,80203,1
Denver,80204,1
Denver,80205,1
Denver,80206,1
Denver,80207,1
Denver,80209,1
Denver,80210,1
Denver,80211,1
Denver,80212,1
Denver,80214,1
Denver,80216,1
Denver,80218,1
Denver,80219,1
Denver,80220,1
Denver,80221,1
Denver,80222,1
Denver,80223,1
Denver,80224,1
Denver,80226,1
Denver,80227,1
Denver,80230,1
Denver,80231,1
Denver,80232,1
Denver,80236,1
Denver,80237,1
Denver,80238,1
Denver,80239,1
Denver,80246,1
Denver,80247,1
Denver,80249,1
Denver,80293,0
