City,Lat,Lon,Zipcode
Chicago,41.998865,-87.763404,60646
Chicago,41.976323,-87.837301,60656
Chicago,41.926039,-87.6533,60614
Chicago,41.883411,-87.625907,60602
Chicago,41.877927,-87.627335,60604
Chicago,41.966857,-87.658134,60640
Chicago,41.894353,-87.626527,60611
Chicago,41.944718,-87.654773,60657
Chicago,41.943354,-87.678894,60618
Chicago,41.926792,-87.664876,60614
Chicago,41.939115,-87.668395,60657
Chicago,41.956525,-87.651635,60613
Chicago,41.949362,-87.649899,60613
Chicago,41.950567,-87.643246,60657
Chicago,41.938784,-87.698067,60618
Chicago,41.939788,-87.652929,60657
Chicago,42.018529,-87.673353,60626
Chicago,42.019192,-87.67343,60626
Chicago,41.921129,-87.663962,60614
Chicago,41.921495,-87.663048,60614
Chicago,41.924891,-87.66235,60614
Chicago,41.92507,-87.66259,60614
Chicago,41.924919,-87.66154,60614
Chicago,41.924897,-87.661861,60614
Chicago,41.925076,-87.660505,60614
Chicago,41.925095,-87.659543,60614
Chicago,41.925102,-87.659706,60614
Chicago,41.925459,-87.656977,60614
Chicago,41.934779,-87.668048,60657
Chicago,41.936316,-87.669781,60657
Chicago,41.936973,-87.664632,60657
Chicago,41.937274,-87.665079,60657
Chicago,41.93804,-87.666656,60657
Chicago,41.939962,-87.658528,60657
Chicago,41.937781,-87.663598,60657
Chicago,41.795383,-87.588294,60615
Chicago,41.975858,-87.711347,60625
Chicago,41.977252,-87.769784,60630
Chicago,41.947042,-87.702013,60618
Chicago,41.883371,-87.633541,60602
Chicago,41.948316,-87.64981,60613
Chicago,41.948332,-87.643523,60657
Chicago,41.948816,-87.643798,60613
Chicago,41.949625,-87.646376,60613
Chicago,41.94929,-87.648714,60613
Chicago,41.977245,-87.910501,60018
Chicago,41.978222,-87.910277,60018
Chicago,41.9783,-87.910258,60018
Chicago,41.979282,-87.910039,60018
Chicago,41.979359,-87.910018,60018
Chicago,41.979436,-87.910001,60018
Chicago,41.978792,-87.910077,60018
Chicago,41.958641,-87.788866,60634
Chicago,41.922318,-87.697577,60647
Chicago,41.875002,-87.628964,60602
Chicago,41.874834,-87.627346,60602
Chicago,41.872497,-87.627123,60605
Chicago,42.01383,-87.680301,60645
Chicago,42.012026,-87.682732,60645
Chicago,42.013832,-87.679333,60626
Chicago,41.88338,-87.638626,60606
Chicago,41.923688,-87.698871,60647
Chicago,41.915234,-87.687128,60647
Chicago,41.961357,-87.675741,60613
Chicago,41.96163,-87.675709,60640
Chicago,41.880354,-87.628001,60603
Chicago,41.881208,-87.628039,60603
Chicago,41.881529,-87.628133,60603
Chicago,41.882861,-87.628279,60602
Chicago,41.881446,-87.628124,60603
Chicago,41.881546,-87.627612,60602
Chicago,41.880236,-87.628001,60603
Chicago,41.882398,-87.626773,60602
Chicago,41.905861,-87.642689,60610
Chicago,41.983285,-87.660315,60660
Chicago,41.965272,-87.675911,60640
Chicago,41.885317,-87.618432,60601
Chicago,41.910424,-87.694766,60647
Chicago,41.90278,-87.691589,60622
Chicago,41.90278,-87.694019,60622
Chicago,41.916922,-87.687822,60647
Chicago,41.902832,-87.689322,60622
Chicago,41.876677,-87.634796,60607
Chicago,41.878552,-87.633988,60606
Chicago,41.866977,-87.641427,60607
Chicago,41.865993,-87.640202,60607
Chicago,41.876769,-87.647988,60607
Chicago,41.876522,-87.648564,60607
Chicago,41.872301,-87.627189,60605
Chicago,41.872005,-87.627255,60605
Chicago,41.885953,-87.628371,60601
Chicago,41.879528,-87.636066,60606
Chicago,41.953565,-87.789123,60634
Chicago,41.953968,-87.787687,60634
Chicago,41.952667,-87.790617,60634
Chicago,41.960292,-87.772571,60634
