Zipcode,relative_score
60620,1.0
60638,0.82184935503827
60652,0.8134953992726747
60630,0.8063887083945737
60628,0.7614536814826665
60634,0.7580973400312606
60660,0.7572315116972091
60641,0.7535123802368807
60636,0.7417820647223834
60640,0.7237784232208954
60631,0.7111447360306765
60619,0.690937352054151
60629,0.6897904570742922
60646,0.6859285319356547
60018,0.6757496319725342
60656,0.6718894878193895
60623,0.6610720539351355
60632,0.6547793419628322
60653,0.638380419461654
60645,0.6348272417803278
60659,0.6341044426857787
60639,0.6306662188237872
60651,0.6271804114120343
60603,0.6192224799913449
60615,0.5944463558809283
60805,0.5919709015527084
60644,0.5883558546507289
60637,0.5859973566613681
60707,0.5775987260988378
60655,0.5771361826374771
60621,0.5770370593572142
60661,0.5733528011674333
60602,0.5713386370975388
60626,0.5704226388822974
60643,0.57013030085589
60601,0.5658108400446107
60649,0.5497335461950236
60617,0.549678284875529
60612,0.5418946247134554
60608,0.5286046972649365
60654,0.5211475368160059
60804,0.5206990303937097
60611,0.5151301700577389
60609,0.5017266291540897
60616,0.49444960924918585
60706,0.49398357103994056
60604,0.4896786839439364
60459,0.4885082710000081
60076,0.48494399059765386
60642,0.48471045708327937
60657,0.4818698865300231
60624,0.480054796428096
60406,0.47148913261506553
60606,0.4706562471628808
60176,0.470571843189028
60131,0.46278215216353685
60106,0.4553601268739055
60613,0.4374723141198059
60622,0.4366690666155689
60605,0.419742887955979
60827,0.4183580244884485
60633,0.4163849167819474
60614,0.39565097783792574
60610,0.38857929286571125
60625,0.371034499671296
60647,0.2761446922936794
60618,0.16778162063026852
60607,0.0
